,Energies,Losses,Variations,Model dh,Time
78,(-18.207090582958458-0.27069928230241014j),1.9897461487274042,70.23420971306388,2,0.07454228401184082
79,(-17.704046618852896-0.024752784311211775j),-1.459383355880275,64.06850901844857,2,0.07433533668518066
80,(-17.30124518617822+0.32407865706219013j),-0.17575720632572484,53.862033959874154,2,0.05829262733459473
81,(-17.716338728267438-0.04998821909355899j),2.301958373750374,57.683357268306175,2,0.07436108589172363
82,(-18.228321765002967+0.1218366231283018j),-7.826496638177464,70.83651110291737,2,0.07448577880859375
83,(-18.678814865428368+0.46044717532334417j),9.769485883385899,67.57008976643661,2,0.07483983039855957
84,(-19.213099011910455-0.8402863682854984j),-3.379282284863873,81.31512156552573,2,0.07462191581726074
85,(-18.56351185191872+0.19434166129408625j),6.367853241281873,82.73038006781746,2,0.058821678161621094
86,(-18.42579083994474-0.883992822387143j),-3.9574281363091246,42.73062371441441,2,0.0747067928314209
87,(-18.478199752009687+0.448579619546804j),-1.8914264590463428,80.1872117925589,2,0.07484745979309082
88,(-18.931920191454044+0.5446179385760812j),3.2292899872803535,59.01257278493508,2,0.07468414306640625
89,(-18.28679687330564-0.6635810190934587j),1.8667245519413838,59.70985098023884,2,0.07462906837463379
90,(-18.70227018861627-0.008368797453960256j),2.37201494626092,51.44232193766169,2,0.05879807472229004
91,(-17.998747596617495+0.2241564188584143j),-1.2486923674629749,57.41705105417112,2,0.07480144500732422
92,(-18.46224647571699+0.05795940518716064j),3.8379618757728804,55.39687562778559,2,0.07485485076904297
93,(-18.465907703722593-0.36772558205545025j),1.4334193244474454,61.09229727157363,2,0.07496190071105957
94,(-17.936674079613844-0.4024151607470259j),18.45077131858282,49.589980080992,2,0.07492828369140625
95,(-17.9459485977418+0.027968239069093192j),-2.561881979487598,54.37192673205645,2,0.058834075927734375
96,(-19.2599664568436-0.8283873237585364j),-3.823984226532175,93.22366701717476,2,0.07467508316040039
97,(-18.457391904697733+0.4941890272356662j),-10.361319205987384,58.10527718530086,2,0.07466912269592285
98,(-18.316591654586297+0.16892269033973356j),-3.4189811446610476,54.58755551087559,2,0.0742177963256836
99,(-19.669420471010795+0.9001289434993228j),6.215517434319486,70.85782666751004,2,0.07450985908508301
100,(-18.663598040272074+0.12857103223220853j),1.978773155422723,42.895798260710514,2,0.05833268165588379
101,(-17.308370276235337-0.4978196365499488j),-14.146112206738124,38.651741340711936,2,0.07454037666320801
102,(-18.448291998851502+0.07345795313696378j),-15.46459885360543,55.085740929847645,2,0.07425355911254883
103,(-17.69621137995485-0.38464699890086407j),-3.4399142679880335,47.443505714629154,2,0.0743551254272461
104,(-19.20780950824086-0.28360544853958725j),-8.339996984700939,68.10359374368053,2,0.07472372055053711
105,(-18.334789640323756-0.05142046773464276j),-6.253012061944956,85.21788735095714,2,0.05913090705871582
106,(-19.266567405148802+0.779311239130634j),-10.86011911816971,60.07776268044768,2,0.07441282272338867
107,(-18.62696093505197-0.7672990302737255j),-4.304140719970242,62.70047290878221,2,0.07483792304992676
108,(-18.845049814997257-0.7361224959612355j),-5.279826261348894,96.20794109066883,2,0.0748133659362793
109,(-18.099969666137348+0.0622910039027261j),8.442526867433727,58.214904761550045,2,0.07493138313293457
110,(-18.940719523898274+0.14983581418675043j),2.943899781434757,54.36400126205372,2,0.05889391899108887
111,(-18.602294543887712-0.3072206907123392j),-2.996011173135139,68.57130698877302,2,0.07485437393188477
112,(-20.50933608774924+0.19420655565476394j),11.661380501919162,89.06630386220824,2,0.07467436790466309
113,(-19.300787143712036+0.11306833322565385j),-0.03488499912893531,55.17757738717739,2,0.07495832443237305
114,(-19.595152559588414-0.11161213184230001j),-6.360718123311827,78.88282336156028,2,0.07494592666625977
115,(-18.479644690835652+0.22876502558374376j),-9.562199448349961,53.99671293888141,2,0.059154510498046875
116,(-18.583344158780452-0.6383874361593356j),-4.776754922624605,53.84839704639235,2,0.07460355758666992
117,(-19.373598742588108+0.5552162926087368j),0.7873528554516906,69.30775471238536,2,0.07462453842163086
118,(-19.728406484905555-0.8891354864451431j),0.019318655176668927,105.36277774031787,2,0.07440948486328125
119,(-18.867140597492295-0.020288125307450534j),0.9822802455939291,59.798311851847046,2,0.07460594177246094
