N = 64, model_type = GRU, Adaptive Run
Step = 880, Energy = -26.607263+1.130484j, Var = 56.125769
Step = 885, Energy = -27.000162-0.001865j, Var = 36.109150
Step = 890, Energy = -26.950121-0.480966j, Var = 38.200949
Step = 895, Energy = -27.464849+0.311267j, Var = 50.199771
Step = 900, Energy = -27.807009+0.035856j, Var = 40.210628
Step = 905, Energy = -26.531500+0.241922j, Var = 34.032007
Step = 910, Energy = -27.874220+0.568221j, Var = 57.791385
Step = 915, Energy = -27.534854+0.166281j, Var = 51.075786
Step = 920, Energy = -27.400146-0.116138j, Var = 39.303779
Step = 925, Energy = -28.206539-1.004271j, Var = 37.076691
Step = 930, Energy = -27.263990-0.417729j, Var = 41.418198
Step = 935, Energy = -27.255141+0.354061j, Var = 50.035218
Step = 940, Energy = -27.822604+0.277251j, Var = 51.763353
Step = 945, Energy = -28.051623+0.097917j, Var = 50.821179
Step = 950, Energy = -27.624547+0.382896j, Var = 48.849311
Step = 955, Energy = -28.297278+0.523785j, Var = 47.162236
Step = 960, Energy = -27.529916-0.013279j, Var = 44.585186
Step = 965, Energy = -27.196769+0.597399j, Var = 33.671592
Step = 970, Energy = -27.490610+0.349990j, Var = 35.298351
Step = 975, Energy = -27.753889-1.103162j, Var = 26.872237
Step = 980, Energy = -27.409250-0.023710j, Var = 44.083973
Step = 985, Energy = -27.515751+0.033403j, Var = 53.889472
Step = 990, Energy = -27.424324+0.854044j, Var = 40.960354
Step = 995, Energy = -27.708173-0.383597j, Var = 28.586222
Step = 1000, Energy = -27.747627-0.431279j, Var = 44.423186
Step = 1005, Energy = -28.034738-0.356144j, Var = 34.698438
Step = 1010, Energy = -27.885370+0.642455j, Var = 48.143405
Step = 1015, Energy = -27.356152+0.560328j, Var = 48.433688
Step = 1020, Energy = -27.577748+0.071328j, Var = 48.172295
Step = 1025, Energy = -27.367947+0.176911j, Var = 35.301067
Step = 1030, Energy = -28.531444-0.316944j, Var = 33.225076
Step = 1035, Energy = -28.201893+0.011661j, Var = 34.397316
Step = 1040, Energy = -27.287595+0.417854j, Var = 38.508931
Step = 1045, Energy = -28.229670+0.704150j, Var = 27.468612
Step = 1050, Energy = -27.452411-0.608623j, Var = 35.472537
Step = 1055, Energy = -28.010673+0.171736j, Var = 43.456383
Step = 1060, Energy = -28.137193-0.205667j, Var = 42.890006
Step = 1065, Energy = -28.318444+0.028692j, Var = 61.012496
Step = 1070, Energy = -27.205158-0.272934j, Var = 51.239461
Step = 1075, Energy = -28.696152+0.428565j, Var = 44.439309
Step = 1080, Energy = -27.651859-0.461625j, Var = 26.776584
Step = 1085, Energy = -29.262480+0.325832j, Var = 64.057855
Step = 1090, Energy = -27.684204-0.030502j, Var = 32.099275
Step = 1095, Energy = -27.701795+0.250562j, Var = 30.446273
Step = 1100, Energy = -27.350109+0.280960j, Var = 54.399197
Step = 1105, Energy = -29.049417+0.728845j, Var = 68.746294
Step = 1110, Energy = -28.067141+0.401735j, Var = 54.166617
Step = 1115, Energy = -28.664012-0.474973j, Var = 39.322171
Step = 1120, Energy = -27.827360+0.044970j, Var = 35.878390
Step = 1125, Energy = -28.097418+0.604743j, Var = 38.307386
Step = 1130, Energy = -27.145135+0.214700j, Var = 29.436588
Step = 1135, Energy = -28.530101-0.135904j, Var = 44.444907
Step = 1140, Energy = -27.951794-0.042338j, Var = 31.719501
Step = 1145, Energy = -28.374159+0.253261j, Var = 42.974646
Step = 1150, Energy = -27.674108+0.780621j, Var = 40.430596
Step = 1155, Energy = -28.027189+0.301274j, Var = 43.935958
Step = 1160, Energy = -28.756373+0.184248j, Var = 36.826035
Step = 1165, Energy = -29.267998+0.082054j, Var = 117.184394
Step = 1170, Energy = -28.586062-1.005944j, Var = 49.665530
Step = 1175, Energy = -28.198276-0.110619j, Var = 35.379030
Step = 1180, Energy = -27.894189-0.406926j, Var = 38.686080
Step = 1185, Energy = -28.237955+0.037597j, Var = 49.049017
Step = 1190, Energy = -28.012945-0.097856j, Var = 48.592890
Step = 1195, Energy = -27.532633+0.356687j, Var = 47.417961
Step = 1200, Energy = -27.653430-0.881626j, Var = 31.939016
Step = 1205, Energy = -27.810015-0.639065j, Var = 23.294999
Step = 1210, Energy = -28.248033-0.526972j, Var = 36.343085
Step = 1215, Energy = -29.399223-0.210632j, Var = 46.481585
Step = 1220, Energy = -27.891278+0.288963j, Var = 51.407913
Step = 1225, Energy = -28.378058+0.536157j, Var = 45.474978
Step = 1230, Energy = -27.901420-0.068882j, Var = 33.971728
