N = 64, model_type = GRU
Step = 695, Energy = -41.269639+0.207013j, Var = 90.427133, Loss = -2.508558
Step = 700, Energy = -42.715818+0.207969j, Var = 59.965640, Loss = 5.784453
Step = 705, Energy = -42.914445+0.392646j, Var = 60.049583, Loss = -20.497251
Step = 710, Energy = -44.018805-0.183076j, Var = 59.020014, Loss = 5.474262
Step = 715, Energy = -43.220003+0.174116j, Var = 87.178558, Loss = -1.842670
Step = 720, Energy = -44.011332-0.060774j, Var = 51.689399, Loss = 11.588896
Step = 725, Energy = -44.234132-0.106195j, Var = 73.520609, Loss = -17.974806
Step = 730, Energy = -45.150705-0.077695j, Var = 55.664138, Loss = 13.478261
Step = 735, Energy = -44.795720+0.311386j, Var = 75.232052, Loss = -9.587031
Step = 740, Energy = -44.768902-0.001497j, Var = 52.243577, Loss = 9.856435
Step = 745, Energy = -45.372312-0.739059j, Var = 42.741079, Loss = -31.102746
Step = 750, Energy = -44.219420+0.076267j, Var = 55.244749, Loss = 47.551740
Step = 755, Energy = -44.974808-0.445060j, Var = 57.891441, Loss = -38.591508
Step = 760, Energy = -45.523584+0.637096j, Var = 59.284879, Loss = 54.035611
Step = 765, Energy = -46.430728-0.847068j, Var = 41.236890, Loss = -6.361370
Step = 770, Energy = -46.262438-0.456679j, Var = 40.059431, Loss = 10.018929
Step = 775, Energy = -46.228046+0.116218j, Var = 42.919246, Loss = 6.073092
Step = 780, Energy = -47.082076+0.708756j, Var = 58.772586, Loss = -10.545546
Step = 785, Energy = -47.054401+0.106733j, Var = 48.867796, Loss = -5.781975
Step = 790, Energy = -46.783180+0.750825j, Var = 49.449869, Loss = 9.265565
Step = 795, Energy = -47.956364+0.316077j, Var = 71.136291, Loss = -16.783206
Step = 800, Energy = -47.198877+0.616775j, Var = 52.148569, Loss = 30.905122
Step = 805, Energy = -48.388713-0.337188j, Var = 35.554595, Loss = -16.347554
Step = 810, Energy = -46.304410+0.284871j, Var = 123.969702, Loss = 1.035404
Step = 815, Energy = -48.103238-0.441876j, Var = 32.667380, Loss = -17.040704
Step = 820, Energy = -47.518078+0.637753j, Var = 41.952670, Loss = 39.960809
Step = 825, Energy = -48.510496+0.151804j, Var = 34.403694, Loss = -20.559521
